,Product,Unit Price,Category
0,APPLE IPHONE 16 128GB NERO,"888,90€",Smartphone & Cellulari
1,SAMSUNG GALAXY S24 8+256GB ONYX BLACK,"707,90€",Smartphone & Cellulari
2,SAMSUNG GALAXY S25 ULTRA 12+512GB TITANIUM SILVERBLUE,"1.614,90€",Smartphone & Cellulari
3,XIAOMI REDMI NOTE 14 5G MIDNIGHT BLACK 8G RAM 256G ROM,"255,90€",Smartphone & Cellulari
4,"MOTOROLA EDGE 50 NEO, 8/256GB, FOTOCAMERA SONY LYTIA™ 700C 50+13+10MP, IP68, DISPLAY 6.36"" POLED 120HZ, IP68","341,90€",Smartphone & Cellulari
5,"MOTOROLA EDGE 50 NEO, 8/256GB, FOTOCAMERA SONY LYTIA™ 700C 50+13+10MP, IP68, DISPLAY 6.36"" POLED 120HZ, IP68","342,90€",Smartphone & Cellulari
6,PANASONIC KX-TU446EXB,"65,90€",Smartphone & Cellulari
7,PANASONIC KX-TU446EXG,"69,90€",Smartphone & Cellulari
8,SAMSUNG GALAXY S24 8+256GB MARBLE GRAY,"729,90€",Smartphone & Cellulari
9,SAMSUNG GALAXY S24 8+256GB COBALT VIOLET,"758,90€",Smartphone & Cellulari
10,"MOTOROLA MOTO G24 CON DISPLAY DA 6.56"" HD+ 90 HZ, SISTEMA DI FOTOCAMERE DA 50MP, BATTERIA DA 5000 MAH, 4/128GB, ICE GREEN","110,90€",Smartphone & Cellulari
11,"MOTOROLA MOTO G24 CON DISPLAY DA 6.56"" HD+ 90 HZ, SISTEMA DI FOTOCAMERE DA 50MP, BATTERIA DA 5000 MAH, 4/128GB, MATTE CHARCOAL","118,90€",Smartphone & Cellulari
12,BRONDI CELLULARE FEATURE PHONE DUAL SIM CLAMSHELL GSM,"49,90€",Smartphone & Cellulari
13,XIAOMI REDMI 13 MIDNIGHT BLACK 8GB RAM 256GB ROM,"149,90€",Smartphone & Cellulari
14,XIAOMI REDMI 13 PEARL PINK 8GB RAM 256GB ROM,"149,90€",Smartphone & Cellulari
15,XIAOMI REDMI 13 OCEAN BLUE 8GB RAM 256GB ROM,"149,90€",Smartphone & Cellulari
16,"MOTOROLA EDGE 50 NEO, 8/256GB, FOTOCAMERA SONY LYTIA™ 700C 50+13+10MP, IP68, DISPLAY 6.36"" POLED 120HZ, IP68","351,90€",Smartphone & Cellulari
17,APPLE IPHONE 16 PRO MAX 256GB TITANIO NERO,"1.279,90€",Smartphone & Cellulari
18,APPLE IPHONE 16 PRO MAX 256GB TITANIO BIANCO,"1.279,90€",Smartphone & Cellulari
19,APPLE IPHONE 16 PRO MAX 256GB TITANIO SABBIA,"1.279,90€",Smartphone & Cellulari
20,APPLE IPHONE 16 PRO MAX 256GB TITANIO NATURALE,"1.279,90€",Smartphone & Cellulari
21,APPLE IPHONE 16 128GB BIANCO,"879,90€",Smartphone & Cellulari
22,APPLE IPHONE 16 128GB ROSA,"873,90€",Smartphone & Cellulari
23,APPLE IPHONE 16 128GB BLU OLTREMARE,"881,90€",Smartphone & Cellulari
24,APPLE IPHONE 16 128GB VERDE ACQUA,"877,90€",Smartphone & Cellulari
25,BRONDI TELEFONO CELLULARE FLIPPER FLIP DUAL SIM | VERDE,"49,90€",Smartphone & Cellulari
26,XIAOMI REDMI NOTE 14 PRO+ 5G MIDNIGHT BLACK 8GB RAM 256GB ROM,"447,90€",Smartphone & Cellulari
27,XIAOMI REDMI NOTE 14 PRO+ 5G FROST BLUE 8GB RAM 256GB ROM,"444,90€",Smartphone & Cellulari
28,XIAOMI REDMI NOTE 14 PRO+ 5G LAVENDER PURPLE 8GB RAM 256GB ROM,"448,90€",Smartphone & Cellulari
29,XIAOMI REDMI NOTE 14 5G CORAL GREEN 8G RAM 256G ROM,"254,90€",Smartphone & Cellulari
30,XIAOMI REDMI NOTE 14 5G LAVENDER PURPLE 8G RAM 256G ROM,"255,90€",Smartphone & Cellulari
31,HONOR OLED 120HZ;IP53;BATTERIA 6600MAH;PROCESSORE SNAPDRAGON 6 GEN 1;CAMERA CON AI MOTION CAPTURE DA 108MP,"370,90€",Smartphone & Cellulari
32,HONOR OLED 120HZ;IP53;BATTERIA 6600MAH;PROCESSORE SNAPDRAGON 6 GEN 1;CAMERA CON AI MOTION CAPTURE DA 108MP,"371,90€",Smartphone & Cellulari
33,REALME - REALME C75 LIGHTNING GOLD (256GB 8GB),"188,90€",Smartphone & Cellulari
34,REALME - REALME C75 STORM BLACK (256GB 8GB),"188,90€",Smartphone & Cellulari
35,SAMSUNG GALAXY S25 ULTRA 12+512GB TITANIUM BLACK,"1.615,90€",Smartphone & Cellulari
36,SAMSUNG GALAXY S25 ULTRA 12+512GB TITANIUM GRAY,"1.614,90€",Smartphone & Cellulari
37,SAMSUNG GALAXY S25 ULTRA 12+512GB TITANIUM WHITESILVER,"1.611,90€",Smartphone & Cellulari
38,"OPPO RENO13 FS 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM","379,90€",Smartphone & Cellulari
39,"OPPO RENO13 FS 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM","379,90€",Smartphone & Cellulari
40,"OPPO RENO13 F 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM 8","324,90€",Smartphone & Cellulari
41,"OPPO RENO13 F 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM 8","312,90€",Smartphone & Cellulari
42,"OPPO RENO13 FS 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM","379,90€",Smartphone & Cellulari
43,"OPPO RENO13 F 5G AI SMARTPHONE, TRIPLA FOTOCAMERA 50+8+2MP, SELFIE 32MP, DISPLAY 6.67” 120HZ AMOLED FHD+, 5800MAH, RAM 8","299,90€",Smartphone & Cellulari
44,REALME - REALME 14 PRO+ 5G PEARL WHITE (512GB 12GB),"528,90€",Smartphone & Cellulari
45,REALME - REALME 14 PRO+ 5G SUEDE GREY (512GB 12GB),"530,90€",Smartphone & Cellulari
46,SAMSUNG GALAXY A26 5G 8+256GB MINT,"328,90€",Smartphone & Cellulari
47,SAMSUNG GALAXY A26 5G 8+256GB BLACK,"327,90€",Smartphone & Cellulari
48,SAMSUNG GALAXY A26 5G 8+256GB WHITE,"327,90€",Smartphone & Cellulari
49,SAMSUNG GALAXY S25 EDGE 12+512GB,"1.418,99€",Smartphone & Cellulari
50,"OPPO A5 PRO SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 90HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 256GB","199,90€",Smartphone & Cellulari
51,"OPPO A5 PRO SMARTPHONE, FOTO AI 50MP, FRONTALE 8MP, DISPLAY 6.67” 90HZ LCD HD+, 5800MAH, RAM 8(ESP4GB/6GB/8GB)+ROM 256GB","199,90€",Smartphone & Cellulari
